country,wind_MOER,solar_MOER,flat_MOER,wind_MBER,solar_MBER,flat_MBER,wind_CMER,solar_CMER,flat_CMER,wind_AER,solar_AER,flat_AER
AT,631.8354294652946,617.8253441045783,631.3938373137922,38.67048248570019,12.097190401286666,50.98312785388128,335.2172126197641,314.96126725293254,341.18984662902585,99.38406794104118,79.42540623445242,102.4550275421338
BE,401.0490150142996,380.3864749212191,413.4940305726135,40.763210928657344,25.854436228575704,108.67255707762557,220.90611297147842,203.1204555748974,261.1068950825723,124.51793109488348,121.27679314971853,151.39077743823674
BA,742.9836959999999,742.983696,742.9836959999999,494.299418941315,512.8757884522076,546.7913242009132,618.6415574706575,627.9297422261038,644.8875101004567,667.9895990370767,738.2659762597079,709.5199236961148
BG,855.4295677941752,859.001389035355,858.8414010030818,347.6457348169218,120.2743370748795,348.1940068493151,601.5376513055484,489.6378630551173,603.5152812148402,385.2792713929389,297.3048530878986,377.5359717183925
HR,522.1428524179339,528.6141324057131,522.0451516237113,229.56916132329036,310.2338520101075,319.8250456621004,375.85600687061213,419.42399220791026,420.9349669533866,167.5115044100671,204.7850364878854,191.14710851014368
CZ,683.2689317089951,669.2167682143106,678.0552633933493,887.5573295789923,825.0664463739095,888.543310502283,785.3709437658462,747.1416072941099,783.2983330891971,388.7258863161041,341.9921252707937,390.63082346010026
FI,785.9925698075638,792.31595092193,790.0157984525663,3.538121336447794,6.1819677674107085,7.575639269406392,394.68516866261643,399.24895934467037,398.79624670852365,83.48998632231394,64.87795638386703,89.11867062643643
FR,379.94114337812397,394.22019315649635,385.54383969253894,98.18968826552542,83.27103936363176,124.45873287671233,239.0245638466552,238.74561626006405,255.00768056908296,36.444882486835624,34.4341223337164,39.62930321375258
DE,701.4482227322317,677.4104659858509,720.1977867232812,357.0728999884426,184.56953576673789,411.95821917808223,529.1682191461798,430.9900008762944,566.0760810261796,342.9186592159614,305.3738916769089,400.9997484126805
GR,437.0926780592531,444.6212230928181,439.04096520861395,270.6492495701735,183.61913357927494,315.0901826484018,353.852071086477,314.12017833604654,377.06634856716136,267.93108507710446,215.68445014455108,313.29462129143354
HU,558.8458449646257,552.5126666219292,558.839309604619,292.36182831761636,12.792614942407887,281.01554794520547,425.58047897045753,282.6526407821685,419.9216975361453,211.18237667536044,146.24695429728902,205.78530993519553
IT,385.9496213163409,386.6955854494274,385.8426662678157,168.91062433081012,69.96544036834372,217.7660730593607,277.3970623905051,228.33051290888557,301.80461142823816,232.4825734960998,199.0774223006665,247.65540656573134
LV,792.2127201135747,,791.5039993230833,273.35293606140135,,333.06270547945206,532.746715931993,,562.2813373614117,998.4354561204382,,1216.5295558045282
LT,459.1648774549673,482.13611644904915,462.8543558020698,63.06054423012971,52.07846986691507,106.18394977168948,261.0830528061826,267.1072931579822,284.51658761061265,138.64332375918582,139.10212000985462,156.47585795910086
ME,982.4802720000002,,982.4802720000002,0.0,,0.0,491.2401360000001,,491.24013600000023,346.0540052788633,,399.27021542556804
