country,wind_MOER,solar_MOER,flat_MOER,wind_MBER,solar_MBER,flat_MBER,wind_CMER,solar_CMER,flat_CMER,wind_AER,solar_AER,flat_AER
NL,460.94324673230074,426.669458770457,472.61312846691783,41.85116646784051,9.28862033756604,116.30597031963471,251.39720660007072,217.97903955401154,294.4865250284627,275.8410910012362,298.36370751311625,321.6170207979641
NO,257.52718500948015,,263.1293784555796,7.816624569285362,,12.88793378995434,132.6464915799973,,138.01232994491627,8.108552985554903,,8.220463897003905
PL,870.3429880440111,873.7995969132527,865.0131640590419,437.88371428855663,224.18861467728115,504.01575342465753,654.0629981604116,548.994105795267,684.5100840941362,538.6192952090373,489.0135835065569,588.3307040075459
PT,359.08892980232736,373.12054322612005,369.88952472495527,138.8401560581431,48.00374984708748,158.65619863013697,248.958950182326,210.5621465366038,264.27409060840944,138.61929329845498,201.3087805944114,177.92187127863477
RO,558.7119088425679,562.5808906874703,560.7145621009397,77.57443131207052,81.63256793130735,116.83164383561643,318.09167653770476,322.1067293093888,338.7721311892656,228.6082061884388,226.19595200005702,244.51843071977137
RS,624.0361430728622,627.2168539326636,627.2168539326636,35.79902251140528,40.621629950918845,40.62626712328767,329.83123229355795,333.88292248191226,333.92103697078005,612.241773327312,624.5139930312293,624.5139930312293
SK,691.4309914911116,677.3577394296735,686.0505502494767,212.74507827009816,136.1345384137324,203.0916210045662,452.088034880605,406.746138921703,444.57295705121385,88.31300711187349,85.43280739350989,89.98001649624163
SI,525.5433716771117,508.5714709476767,527.0841996910322,450.5124724548259,361.65371217296695,437.04195205479454,487.9679095854047,435.1125915603218,482.0620719303387,182.087917492339,174.05844070839572,184.20142361247719
ES,358.187608338776,357.43464416865055,362.27590801894763,106.97459963894083,23.55808184965611,132.12873287671232,232.56404814845965,190.4962356352456,247.20200154349314,109.88112110620364,103.25698073115656,128.0030455542282
SE,788.5881532080639,793.8861812316649,791.3329587419624,4.91122232991995,5.11702942707536,5.774235159817351,396.6992532187909,399.50160532937014,398.55573525310126,0.0016949342061313743,0.004388262622788988,0.002235119752813606
CH,993.273723201212,1012.9025646140402,983.3667334571396,10.398974233800871,9.560871933141714,10.510696347031963,501.8363487175065,511.231718273591,496.93273313984014,0.0,0.0,0.0
UK,424.2042525000994,420.4822933131225,420.4822933131225,150.03426299751376,203.49415591827417,203.51738584474887,287.08417654258795,311.9638183528516,311.99943066088275,231.71129757708405,266.493018560875,266.493018560875
IE,473.7426767199349,496.3964256189642,495.3059308365103,90.91686048954315,152.86050788091066,151.7988356164384,282.2613349563281,324.595726872029,323.5507771056316,270.62169312720533,350.98857939734916,351.5164337272956
LX,701.4482227322317,677.4104659858509,720.1977867232812,357.0728999884426,184.56953576673789,411.95821917808223,529.1682191461798,430.9900008762944,566.0760810261796,342.9186592159614,305.3738916769089,400.9997484126805
