ts,mber,aer,moer,cmer,lrmer,lrmer_c
2013-01-01 00:00:00,3.7195728364443596e-09,9.559638700920579e-09,0.1980436150979328,0.09902180940875283,-8.348518251875055e-08,-7.008077680261464e-08
2013-01-01 01:00:00,3.7039856044451325e-09,9.746021358265722e-09,0.1957671513931224,0.09788357754855401,-8.541223220736673e-08,-7.58801364483104e-08
2013-01-01 02:00:00,3.5605634104511965e-09,9.637418935861836e-09,0.20996470011197985,0.10498235183627162,-9.244899432431524e-08,-7.25159854282323e-08
2013-01-01 03:00:00,3.5583896025336112e-09,9.812695714577714e-09,0.20309419299479195,0.10154709827659078,-9.909098142204984e-08,-7.988797478281917e-08
2013-01-01 04:00:00,3.383393186226078e-09,9.71597909114125e-09,0.20568218220547785,0.10284109279443551,-1.0491844252727137e-07,-7.721271808056436e-08
2013-01-01 05:00:00,3.305830394718711e-09,9.856774099301323e-09,0.21453152686486818,0.10726576508534928,-1.0744824387511904e-07,-7.839213266339666e-08
2013-01-01 06:00:00,3.1714433179604045e-09,9.717566211293319e-09,0.21463861155911945,0.10731930736528139,-1.0528683321768868e-07,-7.686520319377173e-08
2013-01-01 07:00:00,3.0784096677890694e-09,9.641128279577215e-09,0.2088071470550999,0.10440357506675478,-1.0436007176145221e-07,-7.621181954188071e-08
2013-01-01 08:00:00,2.9562965696745297e-09,9.484209938770906e-09,0.21456757063885254,0.10728378679757455,-1.0187031143712205e-07,-7.479206765856354e-08
2013-01-01 09:00:00,2.3073215974306996e-09,9.422657800736301e-09,0.20510880703669085,0.10255440467200622,-9.312455064362917e-08,-6.94646747221583e-08
2013-01-01 10:00:00,2.2179978998199308e-09,8.742503215507256e-09,0.21439342623209845,0.10719671422504817,-8.50950964017854e-08,-5.1475904431523264e-08
2013-01-01 11:00:00,2.102177684753924e-09,8.763901543324183e-09,0.21507869975450639,0.10753935092834203,-7.987574479021672e-08,-5.8565541773763246e-08
2013-01-01 12:00:00,2.060982065841065e-09,8.735284603635576e-09,0.20811870076343272,0.1040593514122074,-7.677543490007924e-08,-6.750875559075627e-08
2013-01-01 13:00:00,1.8669134469024286e-09,8.139647817287678e-09,0.2137413288100705,0.10687066533849197,-7.63185259764866e-08,-5.11638936581257e-08
2013-01-01 14:00:00,2.2119136355887882e-09,7.725493059731109e-09,0.2179640660027799,0.10898203410734676,-7.56840591497354e-08,-5.5750944058651886e-08
2013-01-01 15:00:00,3.6465751191217693e-09,1.0914753622944461e-08,0.21662669505834398,0.10831334935245955,-7.838445413154075e-08,-6.26612583114478e-08
2013-01-01 16:00:00,6.102933638038705e-09,2.9323920335365195e-08,0.20253462761644436,0.101267316859689,-2.242298303021408e-07,-1.9023987187983752e-07
2013-01-01 17:00:00,7.0366193304689595e-09,4.146057269563006e-08,0.19859263932760363,0.09929632318211148,-8.399021929045666e-08,-6.682717814257443e-08
2013-01-01 18:00:00,7.1371583476837715e-09,4.1673395823060706e-08,0.19859263932760363,0.09929632323238098,-8.26049789019865e-08,-5.3036763150146424e-08
2013-01-01 19:00:00,7.3258905334479385e-09,6.697937521944975e-06,0.2067573648091538,0.10337868606752217,-8.641516165953308e-08,-5.21898386333454e-05
2013-01-01 20:00:00,7.603442012592257e-09,4.385574641480822e-08,0.2170555484121219,0.10852777800778196,-7.104581364431677e-08,-6.133232280887088e-08
2013-01-01 21:00:00,8.154292227861124e-09,4.5723774282737315e-08,0.23023680648628977,0.11511840732029101,-7.505899115260686e-08,-8.244350874009556e-08
2013-01-01 22:00:00,9.314855685309879e-09,3.982599635624582e-08,0.20110478603195595,0.10055239767340582,-2.348219217087284e-07,-2.0003500781313257e-07
2013-01-01 23:00:00,9.54832173052737e-09,3.8924511131314365e-08,0.19521151604025255,0.09760576279428715,-2.2611878467587705e-07,-2.0919317524350973e-07
2013-01-02 00:00:00,9.639821141305155e-09,3.924340325079558e-08,0.1980436150979328,0.09902181236887697,-2.1857472271515458e-07,-2.010322439298729e-07
2013-01-02 01:00:00,9.860605144516001e-09,3.751266509490743e-08,0.1957671513931224,0.09788358062686377,-2.059153641656911e-07,-1.727218215462613e-07
2013-01-02 02:00:00,1.1064051234611845e-08,4.0572050628540015e-08,0.20996470011197985,0.10498235558801554,-2.067959542657281e-07,-1.762945652559082e-07
2013-01-02 03:00:00,1.2636568316796022e-08,3.6925497256644894e-05,0.20309419299479195,0.10154710281568013,-2.1849034687804857e-07,0.0467765455328489
2013-01-02 04:00:00,1.3965483130686763e-08,0.0004559889173318818,0.20568218220547785,0.10284109808548049,-3.008293721393771e-07,0.0624504451874049
2013-01-02 05:00:00,1.8169151475280137e-08,0.0044799320504419395,0.21453152686486818,0.10726577251700983,-4.042148327253233e-07,-0.0007931309031414
2013-01-02 06:00:00,1.7750598084531187e-08,0.004455021928217644,0.21463861155911945,0.10731931465485876,-2.080070110456038e-07,-0.0030447966667168
2013-01-02 07:00:00,1.892707111217527e-08,0.0036924263938977963,0.2088071470550999,0.1044035829910855,5.253431706399793e-07,0.0006417322144989
2013-01-02 08:00:00,1.6754643203799415e-08,0.0038716183542530573,0.21456757063885254,0.10728379369674787,5.723239805830675e-07,-0.0064953126019731
2013-01-02 09:00:00,1.1469233587971373e-08,0.0012027460260025,0.20510880703669085,0.10255440925296222,1.4438361882204215e-06,0.0057317209570313
2013-01-02 10:00:00,8.344523507406198e-09,9.95584391414529e-06,0.21439342623209845,0.10719671728831098,4.394726783355141e-07,0.0156072822359925
2013-01-02 11:00:00,7.444125219607975e-09,6.904207161649689e-08,0.21507869975450639,0.10753935359931581,4.0822273894364e-07,0.0242771279273709
2013-01-02 12:00:00,6.7676066363022085e-09,0.0016917715380937082,0.20811870076343272,0.10405935376551968,9.603123105576073e-08,0.0175161646256733
2013-01-02 13:00:00,6.286500532049327e-09,0.0025048133644618494,0.2137413288100705,0.10687066754828552,8.418425711220784e-08,0.0002409176969232
2013-01-02 14:00:00,7.3077259882786434e-09,6.227123986156087e-08,0.2179640660027799,0.10898203665525294,-2.439868465407937e-07,-2.104976537850531e-07
2013-01-02 15:00:00,8.744534430288542e-09,8.529235094932505e-08,0.21662669505834398,0.1083133519014392,-5.0521939406927225e-08,5.320244591524605e-09
2013-01-02 16:00:00,8.51262370887274e-09,1.3623811723880395e-07,0.20253462761644436,0.10126731806453404,-5.140797507074282e-07,0.0492855089376181
2013-01-02 17:00:00,8.266515198619808e-09,0.002498438690666183,0.19859263932760363,0.09929632379705941,1.4466708892775865e-06,-0.0028488096545808
2013-01-02 18:00:00,8.010256488608017e-09,0.0028159161675493124,0.19859263932760363,0.09929632366893006,-4.99261996006499e-07,-0.0021326724357525
