ts,mber,aer,moer
2013-01-01 00:00:00,2.0531018013932315e-09,1.2501923438284765e-08,0.20326826218185198
2013-01-01 01:00:00,2.0722220026856506e-09,1.2168891219154439e-08,0.19137693250273785
2013-01-01 02:00:00,2.12444697821413e-09,1.1346065863231573e-08,0.18305444071160323
2013-01-01 03:00:00,2.324715375797679e-09,1.2256977658142733e-08,0.18293594478480213
2013-01-01 04:00:00,2.983785765017532e-09,1.5853343057922713e-08,0.196096085657689
2013-01-01 05:00:00,3.806608083078237e-09,2.0705164609988794e-08,0.19381495325392145
2013-01-01 06:00:00,4.998843500893257e-09,2.5848201454954282e-08,0.13456933977701233
2013-01-01 07:00:00,5.6266875561318355e-09,3.02160158743843e-08,0.3060682067920977
2013-01-01 08:00:00,5.699981659169015e-09,2.4724071600328966e-08,0.33022865412040603
2013-01-01 09:00:00,5.468475321617575e-09,2.092037983766873e-08,0.3443037333743022
2013-01-01 10:00:00,6.355486821106819e-09,2.3095662206341423e-08,0.3289409961878106
2013-01-01 11:00:00,6.355775921323427e-09,2.1293715388455643e-08,0.35139814309672507
2013-01-01 12:00:00,5.0729676473669664e-09,1.7694577669686775e-08,0.3370745623009654
2013-01-01 13:00:00,4.336858504918598e-09,2.100449416778203e-08,0.3313696046955818
2013-01-01 14:00:00,5.847131053328486e-09,2.8956955554669812e-08,0.3298954956572716
2013-01-01 15:00:00,7.186117673912922e-09,5.4834900229492204e-08,0.315255811754288
2013-01-01 16:00:00,8.137060649581551e-09,8.15650627064471e-08,0.35842647828806207
2013-01-01 17:00:00,7.303344112898833e-09,7.509844947973221e-08,0.35842647828806207
2013-01-01 18:00:00,6.920609911967421e-09,7.203334464363328e-08,0.3108401018627409
2013-01-01 19:00:00,6.853295863288481e-09,7.147290585010469e-08,0.19732839127769233
2013-01-01 20:00:00,6.343412819657974e-09,5.438178098158614e-08,0.08993070202832669
2013-01-01 21:00:00,5.8644979424863474e-09,5.106796151829661e-08,0.11547138771846982
2013-01-01 22:00:00,5.419912156737587e-09,4.3778694816335844e-08,0.19869029332775348
2013-01-01 23:00:00,5.787505256706624e-09,4.6181815850895993e-08,0.2139958491371237
2013-01-02 00:00:00,6.828073648476366e-09,5.268883301492294e-08,0.20326826218185198
2013-01-02 01:00:00,6.92127553866465e-09,5.3274899551571454e-08,0.19137693250273785
2013-01-02 02:00:00,7.364570519236345e-09,5.5963550689246114e-08,0.18305444071160323
2013-01-02 03:00:00,8.533858527468375e-09,6.28702044030982e-08,0.18293594478480213
2013-01-02 04:00:00,8.61531873426316e-09,7.928557005489752e-08,0.196096085657689
2013-01-02 05:00:00,8.25851818974487e-09,8.742288609348706e-08,0.19381495325392145
2013-01-02 06:00:00,1.030429750501809e-08,1.021810900614052e-07,0.13456933977701233
2013-01-02 07:00:00,1.2632803611243558e-08,2.2099002103511928e-07,0.3060682067920977
2013-01-02 08:00:00,1.2346592551317996e-08,1.5311300581951017e-07,0.33022865412040603
2013-01-02 09:00:00,1.0278911098536672e-08,5.294890910317802e-08,0.3443037333743022
2013-01-02 10:00:00,1.2375156237275634e-08,4.841474118399243e-08,0.3289409961878106
2013-01-02 11:00:00,1.4083239114351171e-08,5.084318447664734e-08,0.35139814309672507
2013-01-02 12:00:00,1.1135838016710457e-08,4.636177340464743e-08,0.3370745623009654
2013-01-02 13:00:00,1.2325320068944388e-08,6.110524391156404e-08,0.3313696046955818
2013-01-02 14:00:00,1.528477502837346e-08,2.5138515117833364e-07,0.3298954956572716
2013-01-02 15:00:00,1.3582537767876168e-08,2.9765388076852566e-07,0.315255811754288
2013-01-02 16:00:00,1.3614103998757621e-08,2.168342390432617e-06,0.35842647828806207
2013-01-02 17:00:00,1.0827072415175353e-08,2.1363833851019723e-07,0.35842647828806207
2013-01-02 18:00:00,9.695309460425805e-09,1.6139972169689794e-07,0.3108401018627409
2013-01-02 19:00:00,8.626641107941946e-09,1.2353974690218428e-07,0.19732839127769233
2013-01-02 20:00:00,6.87699057500877e-09,7.112432237128888e-08,0.08993070202832669
2013-01-02 21:00:00,5.391756261862386e-09,5.487068231946792e-08,0.11547138771846982
2013-01-02 22:00:00,4.085047786357949e-09,2.796662568310936e-08,0.19869029332775348
2013-01-02 23:00:00,3.267477853604875e-09,2.0853499486863866e-08,0.2139958491371237
2013-01-03 00:00:00,3.2805252503435047e-09,2.092332580589107e-08,0.20326826218185198
2013-01-03 01:00:00,3.298091380006788e-09,2.1016890717166475e-08,0.19137693250273785
2013-01-03 02:00:00,3.343244599258735e-09,2.125606205981715e-08,0.18305444071160323
2013-01-03 03:00:00,3.393682277463457e-09,2.1521741029962367e-08,0.18293594478480213
2013-01-03 04:00:00,3.493504905810597e-09,2.2043248235827747e-08,0.196096085657689
2013-01-03 05:00:00,3.5348008076560323e-09,2.2257245808307948e-08,0.19381495325392145
2013-01-03 06:00:00,4.4230825363088986e-09,2.6832654180967575e-08,0.13456933977701233
2013-01-03 07:00:00,4.496722517027551e-09,3.541052104992358e-08,0.3060682067920977
2013-01-03 08:00:00,4.7142030966642216e-09,3.680224499582834e-08,0.33022865412040603
2013-01-03 09:00:00,4.812795004180177e-09,3.463608281412306e-08,0.3443037333743022
