ts,mber,aer,moer,cmer,lrmer,lrmer_c
2013-01-01 00:00:00,1.1340259878385088e-08,2.1259867191185997e-08,0.17777546108898246,0.08888773621462116,-1.8186923133213865e-07,-1.7781063219860788e-07
2013-01-01 01:00:00,1.1543731029681761e-08,2.153213066365496e-08,0.17405776370254272,0.08702888762313687,-1.938173175103371e-07,-2.1438489031004698e-07
2013-01-01 02:00:00,1.1945689924197588e-08,2.161428913410958e-08,0.1782874077598005,0.08914370985274522,-2.0423013100337177e-07,-2.209847893978701e-07
2013-01-01 03:00:00,1.254358315003918e-08,2.2168591269330484e-08,0.1653342447143925,0.08266712862898783,-2.0966651211895625e-07,-1.8833445096590281e-07
2013-01-01 04:00:00,1.3102356605581907e-08,2.4814281246274353e-08,0.16843097756614997,0.08421549533425329,-2.0047947547654688e-07,-1.6199911141926696e-07
2013-01-01 05:00:00,1.4121177286692603e-08,2.9092989628953503e-08,0.1677505393137015,0.0838752767174394,-2.735227047279265e-07,-2.0244174910809186e-07
2013-01-01 06:00:00,1.5484189682314598e-08,3.136586118152876e-08,0.1589406761887179,0.07947034583645379,-2.8165207331549244e-07,-2.575833001992151e-07
2013-01-01 07:00:00,1.6558688196876532e-08,3.069228050944067e-08,0.14918796024660613,0.07459398840264717,-2.824812269010529e-07,-2.338788425311576e-07
2013-01-01 08:00:00,1.582632227696084e-08,2.9182679165667165e-08,0.15495227945329704,0.07747614763980966,-1.922990495932308e-07,-2.146383697385507e-07
2013-01-01 09:00:00,1.3207083127732066e-08,2.542759376621808e-08,0.15488103668230757,0.07744052494469535,-1.7588678180435225e-07,-1.9127420281217737e-07
2013-01-01 10:00:00,1.362548090283254e-08,2.555866388169912e-08,0.14977558635935379,0.07488779999241735,-1.680264700098018e-07,-1.6297061209906874e-07
2013-01-01 11:00:00,1.091438843572813e-08,2.3478880764110023e-08,0.15416250534201037,0.07708125812819941,-1.6248390421125214e-07,-1.763012346451053e-07
2013-01-01 12:00:00,1.031980618413285e-08,2.1784355964440666e-08,0.15256326800856249,0.07628163916418433,-1.7254061971412768e-07,-1.7720577054564213e-07
2013-01-01 13:00:00,1.0734942657729335e-08,2.658533480832202e-08,0.15008655655532135,0.075043283645132,-1.88903845128174e-07,-1.2662883384837652e-07
2013-01-01 14:00:00,1.4020136989566814e-08,2.1584698170026436e-08,0.1532130818134083,0.07660654791677264,-2.4588804818490724e-07,-1.5774488716630748e-07
2013-01-01 15:00:00,1.6106190043700928e-08,5.136061965219283e-08,0.16086976210990114,0.0804348891080456,-3.526903339495838e-07,-2.6707637397550466e-07
2013-01-01 16:00:00,2.59166761682138e-08,3.0397778527701975e-06,0.1482281904778884,0.07411410819728229,-6.514314288418757e-07,-3.3850817166032096e-05
2013-01-01 17:00:00,2.6730546256889526e-08,4.856221575579018e-06,0.14151341770012107,0.07075672221533366,-4.994825614823432e-07,-4.937371741245513e-05
2013-01-01 18:00:00,2.5507988307546283e-08,5.8095451103133696e-06,0.1454613119192209,0.0727306687136046,-4.944237291324213e-07,-5.674767024074216e-05
2013-01-01 19:00:00,2.515905093748536e-08,7.5609470963669445e-06,0.16327216369930123,0.08163609442917608,-5.084688247024841e-07,-6.402322578999738e-05
2013-01-01 20:00:00,2.1078454164488634e-08,7.372651130193253e-08,0.17516475718654903,0.0875823891325016,-4.615104556168047e-07,-3.665054018950453e-07
2013-01-01 21:00:00,1.9933756671396464e-08,6.588083514874835e-08,0.16248868256875526,0.08124435125125597,-3.154574606499062e-07,-2.0999819314135792e-07
2013-01-01 22:00:00,1.813614367791563e-08,5.9554017951998574e-08,0.16213814361877615,0.08106908087745991,-3.881034629503559e-07,-2.2115188199784257e-07
2013-01-01 23:00:00,1.8658550131018164e-08,5.9595856357675266e-08,0.19003809955408738,0.09501905910631875,-3.061970941859072e-07,-2.200628580075467e-07
2013-01-02 00:00:00,2.0312008359474747e-08,6.326563986168015e-08,0.17777546108898246,0.0888877407004954,-3.042374756152957e-07,-2.6916382312475033e-07
2013-01-02 01:00:00,2.039385766782077e-08,6.472520336087504e-08,0.17405776370254272,0.08702889204820019,-4.113305402279961e-07,-3.040174395260602e-07
2013-01-02 02:00:00,2.0496913926564626e-08,6.571211725682351e-08,0.1782874077598005,0.08914371412835721,-4.252687599103327e-07,-3.112213254555339e-07
2013-01-02 03:00:00,2.195978264909847e-08,8.263340442918467e-08,0.1653342447143925,0.08266713333708758,-3.509630231132223e-07,3.1816231041223495e-08
2013-01-02 04:00:00,2.3201634270527643e-08,2.921765498016611e-07,0.16843097756614997,0.08421550038389213,-5.232422621948965e-07,3.3588562829785193e-07
2013-01-02 05:00:00,2.7589414553332617e-08,0.009336068098515898,0.1677505393137015,0.08387528345155804,-5.728716071662782e-07,0.0113995352327301
2013-01-02 06:00:00,3.2005494703330664e-08,0.01279548013937581,0.1589406761887179,0.0794703540971063,-2.102912432798123e-07,-0.0028124343546174
2013-01-02 07:00:00,1.800041584750169e-07,0.009991357962060046,0.14918796024660613,0.0745940701253823,3.591022354320727e-06,0.0317205196505804
2013-01-02 08:00:00,1.7988233621274164e-07,0.016313795895441373,0.15495227945329704,0.07747622966781663,3.853061558692405e-06,0.0090882326858702
2013-01-02 09:00:00,2.572589150922482e-08,0.004358789370099397,0.15488103668230757,0.07744053120409954,-1.5553461909487673e-07,0.037557139682229
2013-01-02 10:00:00,2.4582676736183382e-08,1.53274065401349e-07,0.14977558635935379,0.07488780547101526,-9.848812902998909e-08,0.0646526164702761
2013-01-02 11:00:00,2.4807147868080408e-08,2.1786709533870897e-07,0.15416250534201037,0.07708126507457912,-8.913106975653534e-08,0.0998128348909087
2013-01-02 12:00:00,2.8360250850956418e-08,0.008232589219532892,0.15256326800856249,0.07628164818440666,-7.718886743502831e-08,0.0877504705497682
2013-01-02 13:00:00,3.1584103223924174e-08,0.011728029064577365,0.15008655655532135,0.07504329406971229,1.093104031402343e-07,0.0315113159265503
2013-01-02 14:00:00,3.0681593399922896e-08,0.012048143130386116,0.1532130818134083,0.07660655624750085,-4.976989956221339e-07,-0.0076420424470376
2013-01-02 15:00:00,3.995833963488837e-08,0.009725976677609353,0.16086976210990114,0.08043490103412039,3.934204953149968e-06,-0.0068823111102546
2013-01-02 16:00:00,4.469026118468381e-08,0.009871064815829634,0.1482281904778884,0.0741141175840748,-8.140741911600677e-06,-0.0045655837811447
2013-01-02 17:00:00,3.593016182585585e-08,0.00925644047786388,0.14151341770012107,0.07075672681514145,3.6755443489809338e-06,0.0016616359002574
2013-01-02 18:00:00,3.048306943079571e-08,0.0016847968917056667,0.1454613119192209,0.07273067120114517,1.8607894120809496e-06,0.1735130929281045
