ts,mber,aer,moer,cmer
2013-01-01 00:00:00,3.882479534217688e-09,1.4402421982881255e-08,0.003269233941892018,0.001634618912185776
2013-01-01 01:00:00,4.253954667332216e-09,1.5538205750396718e-08,0.0030565956118407183,0.0015282999328976928
2013-01-01 02:00:00,4.966100906876406e-09,1.812619633583641e-08,0.0026112224042273667,0.0013056136851641368
2013-01-01 03:00:00,5.6060562704272885e-09,2.0389023871630078e-08,0.0024992931778626327,0.0012496493919594515
2013-01-01 04:00:00,6.172619876483098e-09,2.209453654530523e-08,0.002291261293409469,0.001145633733014673
2013-01-01 05:00:00,6.503056555803932e-09,2.2766781964155334e-08,0.0025501006615758263,0.001275053582316191
2013-01-01 06:00:00,7.589053002525468e-09,2.5759508363296808e-08,0.0017023104680838677,0.0008511590285684351
2013-01-01 07:00:00,8.302454222903443e-09,2.810824194457966e-08,0.0015050024879225239,0.0007525053951883733
2013-01-01 08:00:00,8.667039525596074e-09,2.9242540092253533e-08,0.001493290456691133,0.0007466495618653293
2013-01-01 09:00:00,7.87825850040162e-09,2.9679524553605146e-08,0.0014157280882782157,0.0007078679832683581
2013-01-01 10:00:00,7.303380907990714e-09,2.7457821777647104e-08,0.0017475170845418614,0.0008737621939613848
2013-01-01 11:00:00,7.114353789301184e-09,2.4061420653544246e-08,0.0017631147639655448,0.000881560939159667
2013-01-01 12:00:00,7.094238116319357e-09,2.3458688373006657e-08,0.0019984493529631125,0.0009992282236006144
2013-01-01 13:00:00,8.510782686275508e-09,3.393451780178309e-08,0.0017972401541968114,0.0008986243324897488
2013-01-01 14:00:00,1.1286607901103333e-08,4.526063953462895e-08,0.002454470634876093,0.001227240960741997
2013-01-01 15:00:00,1.2580585585724369e-08,5.539568808990681e-08,0.0018769904650770021,0.0009385015228312939
2013-01-01 16:00:00,1.2085521846603248e-08,6.123231080439078e-08,0.0012242334244996073,0.0006121227550107269
2013-01-01 17:00:00,1.1599564788968944e-08,5.900464660411915e-08,0.0011496905425975878,0.0005748510710811884
2013-01-01 18:00:00,1.0999873896345665e-08,5.62389098175386e-08,0.0016340133794123602,0.0008170121896431282
2013-01-01 19:00:00,1.063571061127379e-08,5.442798138915419e-08,0.0024487146209732757,0.0012243626283419435
2013-01-01 20:00:00,9.958451617041572e-09,4.6226661408792396e-08,0.0029484761284756327,0.001474243043463625
2013-01-01 21:00:00,9.769876021895081e-09,4.557287644754828e-08,0.0029843282153804353,0.0014921689926282286
2013-01-01 22:00:00,1.0090594131084626e-08,4.637858996486492e-08,0.00306046806856257,0.0015302390795783505
2013-01-01 23:00:00,1.0967595180569313e-08,4.9245251492920056e-08,0.0028218886484020116,0.001410949807998596
2013-01-02 00:00:00,1.2360863936923717e-08,5.647242597774801e-08,0.003269233941892018,0.0016346231513779774
2013-01-02 01:00:00,1.2620314538168966e-08,5.858615832951031e-08,0.0030565956118407183,0.0015283041160776283
2013-01-02 02:00:00,1.1964789281072639e-08,5.5167714361400394e-08,0.0026112224042273667,0.0013056171845083238
2013-01-02 03:00:00,1.1561199514266378e-08,5.357174098214257e-08,0.0024992931778626327,0.0012496523695310735
2013-01-02 04:00:00,1.159301418783914e-08,5.295743978576167e-08,0.002291261293409469,0.0011456364432118286
2013-01-02 05:00:00,1.0217419848709233e-08,5.08265586025453e-08,0.0025501006615758263,0.0012750554394978374
2013-01-02 06:00:00,8.959427970484412e-09,4.897116883950413e-08,0.0017023104680838677,0.0008511597137559192
2013-01-02 07:00:00,1.0101157917403648e-08,5.310359498123398e-08,0.0015050024879225239,0.0007525062945402207
2013-01-02 08:00:00,9.113314564152138e-09,4.460013950693881e-08,0.001493290456691133,0.0007466497850028486
2013-01-02 09:00:00,7.149005701949245e-09,3.014156866466014e-08,0.0014157280882782157,0.0007078676186419588
2013-01-02 10:00:00,5.870625916977093e-09,2.6269379366800147e-08,0.0017475170845418614,0.0008737614775838892
2013-01-02 11:00:00,5.761360009129221e-09,2.5835140109023756e-08,0.0017631147639655448,0.0008815602626627769
2013-01-02 12:00:00,5.466885265723132e-09,2.4836414021347055e-08,0.0019984493529631125,0.000999227409924189
2013-01-02 13:00:00,7.037251294232497e-09,2.907770519431553e-08,0.0017972401541968114,0.0008986235957240529
2013-01-02 14:00:00,8.227700024441804e-09,4.248129426692113e-08,0.002454470634876093,0.0012272394312880586
2013-01-02 15:00:00,7.370399718674202e-09,3.9756119211193925e-08,0.0018769904650770021,0.0009384989177383604
2013-01-02 16:00:00,8.196094615605968e-09,4.240046101128021e-08,0.0012242334244996073,0.0006121208102971114
2013-01-02 17:00:00,8.459723727156871e-09,4.361817596726614e-08,0.0011496905425975878,0.0005748495011606575
2013-01-02 18:00:00,8.466384737389008e-09,4.36462541632416e-08,0.0016340133794123602,0.0008170109228985488
2013-01-02 19:00:00,7.74909486561813e-09,4.156068423894933e-08,0.0024487146209732757,0.0012243611850340707
2013-01-02 20:00:00,7.928227180077073e-09,3.702735951415336e-08,0.0029484761284756327,0.0014742420283514065
2013-01-02 21:00:00,7.130111135497413e-09,3.3417691481740095e-08,0.0029843282153804353,0.0014921676727457855
2013-01-02 22:00:00,5.5472077821411855e-09,1.963444334419392e-08,0.00306046806856257,0.001530236807885176
2013-01-02 23:00:00,4.082860516423688e-09,1.4759709898661013e-08,0.0028218886484020116,0.001410946365631264
2013-01-03 00:00:00,3.934350571301735e-09,1.4719154190635348e-08,0.003269233941892018,0.0016346189381212946
2013-01-03 01:00:00,3.82681128249433e-09,1.4784900025939632e-08,0.0030565956118407183,0.0015282997193260003
2013-01-03 02:00:00,3.7199002066091475e-09,1.4729077067619585e-08,0.0026112224042273667,0.0013056130620637866
2013-01-03 03:00:00,3.65047097436515e-09,1.4494517865593558e-08,0.0024992931778626327,0.0012496484141668036
2013-01-03 04:00:00,3.5834472679940474e-09,1.4221286438098186e-08,0.002291261293409469,0.0011456324384283686
2013-01-03 05:00:00,3.5680888487615802e-09,1.399429635862741e-08,0.0025501006615758263,0.0012750521148323375
2013-01-03 06:00:00,3.5595298027479258e-09,1.2931278797533574e-08,0.0017023104680838677,0.0008511570138068353
2013-01-03 07:00:00,3.5589279197284946e-09,1.2929438670373394e-08,0.0015050024879225239,0.0007525030234252218
2013-01-03 08:00:00,3.546543595976703e-09,1.2933820012655834e-08,0.001493290456691133,0.0007466470016173645
2013-01-03 09:00:00,3.393505763409154e-09,1.283603111194287e-08,0.0014157280882782157,0.0007078657408919896
2013-01-03 10:00:00,3.3420829529219003e-09,1.2835033721809556e-08,0.0017475170845418614,0.0008737602133124071
2013-01-03 11:00:00,3.294656840519569e-09,1.2865733446525077e-08,0.0017631147639655448,0.0008815590293111927
2013-01-03 12:00:00,3.2868368787903153e-09,1.2840036766638194e-08,0.0019984493529631125,0.0009992263198999956
2013-01-03 13:00:00,3.3498552268780147e-09,1.2957111471435836e-08,0.0017972401541968114,0.0008986217520260192
2013-01-03 14:00:00,3.486587868169267e-09,1.3007077526229113e-08,0.002454470634876093,0.0012272370607319806
2013-01-03 15:00:00,3.5250426878703832e-09,1.2948836813110938e-08,0.0018769904650770021,0.000938496995059845
2013-01-03 16:00:00,3.5241318357608712e-09,1.2815555184016339e-08,0.0012242334244996073,0.0006121184743157215
2013-01-03 17:00:00,3.5252437881019702e-09,1.2895390834396573e-08,0.0011496905425975878,0.000574847033920688
2013-01-03 18:00:00,3.526662874136516e-09,1.3040773138778685e-08,0.0016340133794123602,0.0008170084530376171
